anchor_id,anchor,candidate,relation_type,source
1,A group has gathered in a small city square to watch something.,A group has assembled in a small town square to observe something.,paraphrase,humarin_t5
1,A group has gathered in a small city square to watch something.,A group has assembled in a small city square to watch something.,synonym,wordnet_mlm
1,A group has gathered in a small city square to watch something.,A group has gathered in a large city square to watch something.,antonym,wordnet_mlm
1,A group has gathered in a small city square to watch something.,Some people are gathered outside.,entailment,snli_gold
1,A group has gathered in a small city square to watch something.,A group is in a square to watch a concert.,neutral,snli_gold
1,A group has gathered in a small city square to watch something.,A group of people are eating in a restaurant.,contradiction,snli_gold
1,A group has gathered in a small city square to watch something.,watch group to gathered something small square a city has in a,jumbled,shuffle
1,A group has gathered in a small city square to watch something.,Stocks Are Seen Off a Touch at Open NEW YORK - U,distinction,fancyzhx/ag_news
1,A group has gathered in a small city square to watch something.,A group has not gathered in a small city square to watch something.,negation,negation_rule
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,"A woman in a bright suit and gloves is in charge of the small orchestra, which is being led by her.",paraphrase,humarin_t5
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman in a suit and gloves is conducting a little orchestra in a bright room.,synonym,wordnet_mlm
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman in a suit and gloves is conducting a small orchestra in a dull room.,antonym,wordnet_mlm
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman is conducting an orchestra.,entailment,snli_gold
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman is trying to teach music.,neutral,snli_gold
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman is playing an instrument.,contradiction,snli_gold
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,in a is suit orchestra room woman small a bright in and a gloves conducting a,jumbled,shuffle
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,"World 'will act on climate gases' International action on climate change will eventually come, a leading UK environmental thinker says",distinction,fancyzhx/ag_news
2,A woman in a suit and gloves is conducting a small orchestra in a bright room.,A woman in a suit and gloves is not conducting a small orchestra in a bright room.,negation,negation_rule
3,A young woman looks happy in winter clothes while it snows.,"In the snowy weather, a young woman appears to be smiling while wearing winter clothing.",paraphrase,humarin_t5
3,A young woman looks happy in winter clothes while it snows.,A young woman seems happy in winter clothes while it snows.,synonym,wordnet_mlm
3,A young woman looks happy in winter clothes while it snows.,A young woman looks unhappy in winter clothes while it snows.,antonym,wordnet_mlm
3,A young woman looks happy in winter clothes while it snows.,a woman looks happy,entailment,snli_gold
3,A young woman looks happy in winter clothes while it snows.,the woman is white,neutral,snli_gold
3,A young woman looks happy in winter clothes while it snows.,the woman is naked,contradiction,snli_gold
3,A young woman looks happy in winter clothes while it snows.,winter a in it happy looks snows clothes while woman young,jumbled,shuffle
3,A young woman looks happy in winter clothes while it snows.,Bank keeps interest rate unchanged The Bank of England today held the base interest rate at 4,distinction,fancyzhx/ag_news
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,"A group of 5 individuals, resembling a family, observe the colossal roots that emerge from the ground.",paraphrase,humarin_t5
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,A group of 5 people who seem to be a family look at the very large roots which protrude from the ground.,synonym,wordnet_mlm
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,A group of 5 people who appear to be a family look at the very small roots which protrude from the ground.,antonym,wordnet_mlm
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,The group are outdoors.,entailment,snli_gold
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,The group live on a farm.,neutral,snli_gold
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,The group live in a space colony.,contradiction,snli_gold
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,appear roots a very 5 look to a family be large ground people the the which who from protrude group of at,jumbled,shuffle
4,A group of 5 people who appear to be a family look at the very large roots which protrude from the ground.,"(17) Utah 23 Arizona 6 TUCSON, Ariz",distinction,fancyzhx/ag_news
5,A small boy enjoys chasing ducks in the fall.,"In the autumn, a young boy takes pleasure in chasing ducks.",paraphrase,humarin_t5
5,A small boy enjoys chasing ducks in the fall.,A little boy enjoys chasing ducks in the fall.,synonym,wordnet_mlm
5,A small boy enjoys chasing ducks in the fall.,A small boy suffers chasing ducks in the fall.,antonym,wordnet_mlm
5,A small boy enjoys chasing ducks in the fall.,A child plays with an animal.,entailment,snli_gold
5,A small boy enjoys chasing ducks in the fall.,A boy plays near a pond.,neutral,snli_gold
5,A small boy enjoys chasing ducks in the fall.,A boy plays with his puppy.,contradiction,snli_gold
5,A small boy enjoys chasing ducks in the fall.,enjoys small chasing ducks the a in fall boy,jumbled,shuffle
5,A small boy enjoys chasing ducks in the fall.,"Oracle seals PeopleSoft takeover SAN FRANCISCO -- Ending 18 months of hostility, Oracle Corp",distinction,fancyzhx/ag_news
7,Man playing a small guitar and singing.,A man playing a small guitar and singing.,paraphrase,humarin_t5
7,Man playing a small guitar and singing.,Man playing a little guitar and singing.,synonym,wordnet_mlm
7,Man playing a small guitar and singing.,Man playing a big guitar and singing.,antonym,wordnet_mlm
7,Man playing a small guitar and singing.,A man plays guitar and sings.,entailment,snli_gold
7,Man playing a small guitar and singing.,A man plays guitar and sings for a crowd.,neutral,snli_gold
7,Man playing a small guitar and singing.,A man plays the trumpet.,contradiction,snli_gold
7,Man playing a small guitar and singing.,playing singing and a man guitar small,jumbled,shuffle
7,Man playing a small guitar and singing.,"Nintendo, Sony try to kindle demand ahead of holidays Nintendo Co",distinction,fancyzhx/ag_news
8,A group of men dressed in strange clothing talk about their day.,Men dressed in revealing clothing exchange their thoughts on their day.,paraphrase,humarin_t5
8,A group of men dressed in strange clothing talk about their day.,A group of men dressed in unusual clothing talk about their day.,synonym,wordnet_mlm
8,A group of men dressed in strange clothing talk about their day.,A group of men dressed in familiar clothing talk about their day.,antonym,wordnet_mlm
8,A group of men dressed in strange clothing talk about their day.,Two men are wearing clothes.,entailment,snli_gold
8,A group of men dressed in strange clothing talk about their day.,The two men shop at the same store,neutral,snli_gold
8,A group of men dressed in strange clothing talk about their day.,The two men are singing the same song.,contradiction,snli_gold
8,A group of men dressed in strange clothing talk about their day.,clothing a day strange men talk in group dressed about of their,jumbled,shuffle
8,A group of men dressed in strange clothing talk about their day.,"NetSky variant tops virus list again LYNNFIELD, Mass",distinction,fancyzhx/ag_news
11,A dog is almost all the way in the water and takes a drink.,The dog is almost completely submerged in water and consumes a beverage.,paraphrase,humarin_t5
11,A dog is almost all the way in the water and takes a drink.,A dog is nearly all the way in the water and takes a drink.,synonym,wordnet_mlm
11,A dog is almost all the way in the water and takes a drink.,A dog is almost all the way in the water and refuses a drink.,antonym,wordnet_mlm
11,A dog is almost all the way in the water and takes a drink.,An animal is almost all the way in the water and takes a drink.,entailment,snli_gold
11,A dog is almost all the way in the water and takes a drink.,A big dog is almost all the way in the water and takes a drink.,neutral,snli_gold
11,A dog is almost all the way in the water and takes a drink.,A cat is almost all the way in the water and takes a drink.,contradiction,snli_gold
11,A dog is almost all the way in the water and takes a drink.,a in drink the the all is water a way and almost takes dog,jumbled,shuffle
11,A dog is almost all the way in the water and takes a drink.,Microsoft May Create Russian Hotmail (AP) AP - Microsoft Corp,distinction,fancyzhx/ag_news
11,A dog is almost all the way in the water and takes a drink.,A dog is not almost all the way in the water and takes a drink.,negation,negation_rule
12,A small white dogs leaps over the back of a larger dog to chase his toy.,A small white dog leaps over the back of a bigger dog to pursue his plaything.,paraphrase,humarin_t5
12,A small white dogs leaps over the back of a larger dog to chase his toy.,A small white dogs leaps over the back of a bigger dog to chase his toy.,synonym,wordnet_mlm
12,A small white dogs leaps over the back of a larger dog to chase his toy.,A large white dogs leaps over the back of a larger dog to chase his toy.,antonym,wordnet_mlm
12,A small white dogs leaps over the back of a larger dog to chase his toy.,The large dog is beneath the small dog.,entailment,snli_gold
12,A small white dogs leaps over the back of a larger dog to chase his toy.,The small dog is hungry.,neutral,snli_gold
